2013.02.25, 33, 254
2013.02.18, 34, 255
2013.02.11, 41, 251
2013.02.04, 40, 248
2013.01.28, 40, 252
2013.01.14, 41, 564
2013.01.07, 41, 564
2012.12.31, 48, 0
2012.12.24, 48, 0
2012.12.17, 48, 0
2012.12.10, 48, 0
2012.12.03, 48, 0
2012.11.26, 48, 0
2012.11.19, 48, 0
2012.11.12, 48, 0
2012.11.05, 48, 0
2012.10.29, 55, 0
2012.10.22, 62, 0
2012.10.15, 59, 0
2012.10.08, 56, 0
2012.10.01, 60, 0
2012.09.24, 56, 0
2012.09.17, 59, 0
2012.09.10, 60, 0
2012.08.27, 58, 0
2012.08.20, 56, 0
2012.08.13, 52, 0
2012.08.06, 53, 0
2012.07.30, 53, 0
2012.07.23, 53, 0
2012.07.16, 61, 0
2012.07.09, 69, 0
2012.07.02, 0, 546
2012.06.25, 69, 546
2012.06.18, 65, 544
2012.06.11, 72, 263
2012.05.28, 87, 273
2012.05.21, 95, 269
2012.05.14, 94, 270
2012.05.07, 96, 270
2012.04.30, 94, 271
2012.04.23, 85, 227
2012.04.16, 86, 230
2012.04.09, 87, 230
2012.04.02, 86, 229
2012.03.19, 101, 228
2012.03.05, 102, 226
2012.02.27, 84, 197
2012.02.20, 83, 199
2012.02.13, 82, 201
2012.02.06, 80, 205
2012.01.30, 83, 202
2012.01.16, 78, 202
2012.01.09, 76, 204
2012.01.02, 76, 202
2011.12.26, 76, 202
2011.12.19, 76, 202
2011.12.12, 76, 202
2011.12.05, 76, 202
2011.11.28, 76, 201
2011.11.21, 72, 199
2011.11.14, 70, 201
2011.11.07, 71, 200
2011.10.31, 71, 202
2011.10.24, 72, 201
2011.10.17, 70, 203
2011.10.10, 72, 205
2011.10.03, 70, 205
2011.09.26, 76, 204
2011.09.19, 64, 206
2011.09.12, 58, 209
2011.08.29, 57, 208
2011.08.22, 52, 211
2011.08.15, 56, 209
2011.08.08, 56, 213
2011.08.01, 57, 216
2011.07.25, 57, 212
2011.07.18, 59, 215
2011.07.11, 59, 213
2011.07.04, 60, 215
2011.06.20, 62, 285
2011.06.13, 64, 572
2011.06.06, 64, 569
2011.05.23, 64, 500
2011.05.16, 63, 501
2011.05.09, 64, 502
2011.05.02, 66, 461
2011.04.25, 69, 606
2011.04.18, 70, 610
2011.04.11, 71, 614
2011.04.04, 70, 615
2011.03.21, 70, 619
2011.03.07, 71, 620
2011.02.28, 78, 852
2011.02.21, 81, 858
2011.02.14, 84, 857T
2011.02.07, 86, 848T
2011.01.31, 85, 852
2011.01.17, 105, 842
2011.01.10, 108, 841
2011.01.03, 106, 694
2010.12.27, 106, 696
2010.12.20, 106, 693
2010.12.13, 106, 691
2010.12.06, 106, 692
2010.11.29, 106, 691
2010.11.22, 112, 689
2010.11.15, 114, 684
2010.11.08, 115, 615
2010.11.01, 112, 556
2010.10.25, 114, 555
2010.10.18, 131, 557
2010.10.11, 136, 561
2010.10.04, 135, 558
2010.09.27, 136, 560
2010.09.20, 146, 366
2010.09.13, 190, 368
2010.09.06, 184, 364
2010.08.30, 184, 364
2010.08.23, 245, 358
2010.08.16, 280, 363
2010.08.09, 270, 295
2010.08.02, 281, 292
2010.07.26, 292, 293
2010.07.19, 309, 293
2010.07.12, 305, 297
2010.07.05, 302, 297
2010.06.21, 359, 295
2010.06.14, 358, 296
2010.06.07, 360, 296
2010.05.24, 338, 308
2010.05.17, 325, 309
2010.05.10, 331, 309
2010.05.03, 334, 342
2010.04.26, 334, 345
2010.04.19, 334, 339
2010.04.12, 336, 336
2010.04.05, 336, 337
2010.03.22, 338, 340
2010.03.08, 329, 344
2010.03.01, 327, 346
2010.02.22, 325, 346
2010.02.15, 327, 347
2010.02.08, 266, 344
2010.02.01, 258, 337
2010.01.18, 268, 313
2010.01.11, 268, 313
2010.01.04, 288, 338
2009.12.28, 288, 339
2009.12.21, 289, 341
2009.12.14, 290, 341
2009.12.07, 287, 341
2009.11.30, 287, 345
2009.11.23, 289, 346
2009.11.16, 296, 352
2009.11.09, 296, 365
2009.11.02, 308, 389
2009.10.26, 310, 395
2009.10.19, 310, 400
2009.10.12, 308, 404
2009.10.05, 314, 408
2009.09.28, 319, 413
2009.09.21, 290, 658
2009.09.14, 255, 665
2009.08.31, 271, 709
2009.08.24, 266, 702
2009.08.17, 268, 709
2009.08.10, 276, 1122
2009.08.03, 310, 1131
2009.07.27, 309, 1132
2009.07.20, 314, 1146
2009.07.13, 326, 1166
